acc,gap,mu,degree,sweep
0.8049999872843424,0.06318262120100533,1.0,3.029166666666667,vary density
0.8466666340827942,0.26537026918768497,0.8624844315045124,6.101388888888889,vary density
0.8799999753634135,0.40771246024106805,0.6348087817072675,10.174999999999999,vary density
0.924999992052714,0.49313722977504093,0.5369264351282039,16.008333333333333,vary density
0.949999988079071,0.5453460882375537,0.47683078338787444,23.894444444444446,vary density
0.981666624546051,0.5802056125061507,0.4366051321735884,33.980555555555554,vary density
0.6433333357175192,0.45829753165302706,0.5798985048944912,12.027777777777779,vary contrast
0.7566666404406229,0.4582121765808372,0.5800999062438618,12.016666666666667,vary contrast
0.8883333007494608,0.45898114265149387,0.5793294290007073,12.141666666666666,vary contrast
0.9466666579246521,0.4092916963949056,0.6226728551287204,12.186111111111112,vary contrast
0.9916666547457377,0.2988966744968887,0.724098171852951,12.133333333333333,vary contrast
1.0,0.1325037844074595,0.8777596292597055,11.968055555555557,vary contrast
