,2,4,8,16,30
1,0.9174999594688416,0.9574999809265137,0.9824999570846558,1.0,1.0
2,0.8899999856948853,0.9524999856948853,0.9975000023841858,1.0,1.0
3,0.887499988079071,0.9524999856948853,0.9950000047683716,1.0,1.0
4,0.8549999892711639,0.9524999856948853,0.9874999523162842,1.0,1.0
6,0.8599999845027924,0.9300000071525574,0.9774999618530273,1.0,1.0
8,0.7799999713897705,0.8924999833106995,0.9674999713897705,1.0,0.9274999797344208
