level,distance,influence
sparse (≈3),0,0.15130941588431596
sparse (≈3),1,0.0750306798145175
sparse (≈3),2,0.033010634877448104
sparse (≈3),3,0.00843662616533258
sparse (≈3),4,0.00196834996430219
sparse (≈3),5,0.0
sparse (≈3),6,0.0
medium (≈10),0,0.02030074466019869
medium (≈10),1,0.00894320982310256
medium (≈10),2,0.004773199601247099
medium (≈10),3,0.0015700349346108578
medium (≈10),4,0.0006222344795374609
medium (≈10),5,0.0
dense (≈30),0,0.005534040823113174
dense (≈30),1,0.0036837815598360574
dense (≈30),2,0.002257321234298593
dense (≈30),3,0.0012894819713315823
